Generation,Best Individual
200,127700.28957737281
400,127700.28957737281
600,127700.28957737281
800,127700.28957737281
1000,127700.28957737281
1200,127700.28957737281
1400,127700.28957737281
1600,127700.28957737281
1800,127700.28957737281
2000,127700.28957737281
2200,127700.28957737281
2400,127700.28957737281
2600,127700.28957737281
2800,127700.28957737281
3000,127700.28957737281
3200,127700.28957737281
3400,127700.28957737281
3600,127700.28957737281
3800,127700.28957737281
4000,127700.28957737281
4200,127700.28957737281
4400,127700.28957737281
4600,127700.28957737281
4800,127700.28957737281
5000,127700.28957737281
